Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Start Year,Start Month,Start Day,Start Quarter,CI_Sum
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,26.4,25.7,27.1,25.7 - 27.1,Unknown,2020,11,25,4,52.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.0,11.5,12.5,11.5 - 12.5,Unknown,2020,11,25,4,24.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,21.8,19.8,24.0,19.8 - 24.0,Unknown,2020,11,25,4,43.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,17.2,15.8,18.7,15.8 - 18.7,Unknown,2020,11,25,4,34.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,13.5,12.4,14.8,12.4 - 14.8,Unknown,2020,11,25,4,27.200000000000003
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,9.5,8.5,10.6,8.5 - 10.6,Unknown,2020,11,25,4,19.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,6.0,5.2,6.9,5.2 - 6.9,Unknown,2020,11,25,4,12.100000000000001
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,3.2,2.5,3.9,2.5 - 3.9,Unknown,2020,11,25,4,6.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,3.6,2.0,6.0,2.0 - 6.0,Unknown,2020,11,25,4,8.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,9.5,8.8,10.2,8.8 - 10.2,Unknown,2020,11,25,4,19.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Female,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,14.3,13.6,14.9,13.6 - 14.9,Unknown,2020,11,25,4,28.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,3.3,2.9,3.7,2.9 - 3.7,Unknown,2020,11,25,4,6.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,24.3,23.4,25.3,23.4 - 25.3,Unknown,2020,11,25,4,48.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,14.0,12.5,15.6,12.5 - 15.6,Unknown,2020,11,25,4,28.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.5,10.9,12.0,10.9 - 12.0,Unknown,2020,11,25,4,22.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.7,10.8,14.7,10.8 - 14.7,Unknown,2020,11,25,4,25.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,7.5,5.8,9.5,5.8 - 9.5,Unknown,2020,11,25,4,15.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,16.5,13.9,19.5,13.9 - 19.5,Unknown,2020,11,25,4,33.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.7,9.5,16.5,9.5 - 16.5,Unknown,2020,11,25,4,26.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,9.7,8.7,10.8,8.7 - 10.8,Unknown,2020,11,25,4,19.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,15.0,14.1,15.9,14.1 - 15.9,Unknown,2020,11,25,4,30.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.2,10.6,11.7,10.6 - 11.7,Unknown,2020,11,25,4,22.299999999999997
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.8,21.1,22.5,21.1 - 22.5,Unknown,2020,12,9,4,43.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,19.9,17.7,22.3,17.7 - 22.3,Unknown,2020,12,9,4,40.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.1,20.6,23.6,20.6 - 23.6,Unknown,2020,12,9,4,44.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.2,20.9,23.5,20.9 - 23.5,Unknown,2020,12,9,4,44.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,23.6,21.8,25.3,21.8 - 25.3,Unknown,2020,12,9,4,47.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.4,21.1,23.7,21.1 - 23.7,Unknown,2020,12,9,4,44.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,19.6,17.9,21.3,17.9 - 21.3,Unknown,2020,12,9,4,39.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.0,15.8,27.0,15.8 - 27.0,Unknown,2020,12,9,4,42.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,16.0,15.2,16.9,15.2 - 16.9,Unknown,2020,12,9,4,32.099999999999994
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,27.0,26.2,27.9,26.2 - 27.9,Unknown,2020,12,9,4,54.099999999999994
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,12.5,11.9,13.1,11.9 - 13.1,Unknown,2020,12,9,4,25.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,34.5,33.2,35.8,33.2 - 35.8,Unknown,2020,12,9,4,69.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,18.2,16.1,20.5,16.1 - 20.5,Unknown,2020,12,9,4,36.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.1,23.3,24.9,23.3 - 24.9,Unknown,2020,12,9,4,48.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,16.9,14.9,19.0,14.9 - 19.0,Unknown,2020,12,9,4,33.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.2,7.3,11.4,7.3 - 11.4,Unknown,2020,12,9,4,18.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,26.6,23.0,30.6,23.0 - 30.6,Unknown,2020,12,9,4,53.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,19.7,16.0,23.7,16.0 - 23.7,Unknown,2020,12,9,4,39.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.2,19.8,22.7,19.8 - 22.7,Unknown,2020,12,9,4,42.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.0,23.1,25.0,23.1 - 25.0,Unknown,2020,12,9,4,48.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,20.7,20.0,21.6,20.0 - 21.6,Unknown,2020,12,9,4,41.6
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,10.2,9.7,10.7,9.7 - 10.7,Unknown,2020,12,9,4,20.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,12.7,11.3,14.2,11.3 - 14.2,Unknown,2020,12,9,4,25.5
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,15.3,14.1,16.6,14.1 - 16.6,Unknown,2020,12,9,4,30.700000000000003
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,11.4,10.5,12.5,10.5 - 12.5,Unknown,2020,12,9,4,23.0
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.9,8.9,10.9,8.9 - 10.9,Unknown,2020,12,9,4,19.8
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,5.8,5.1,6.6,5.1 - 6.6,Unknown,2020,12,9,4,11.7
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,4.3,3.6,5.2,3.6 - 5.2,Unknown,2020,12,9,4,8.8
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.2,5.2,14.9,5.2 - 14.9,Unknown,2020,12,9,4,20.1
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,7.8,7.2,8.5,7.2 - 8.5,Unknown,2020,12,9,4,15.7
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,12.4,11.8,13.0,11.8 - 13.0,Unknown,2020,12,9,4,24.8
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,5.4,5.0,5.7,5.0 - 5.7,Unknown,2020,12,9,4,10.7
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,16.8,15.8,17.7,15.8 - 17.7,Unknown,2020,12,9,4,33.5
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.9,8.4,11.6,8.4 - 11.6,Unknown,2020,12,9,4,20.0
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,10.4,9.8,11.1,9.8 - 11.1,Unknown,2020,12,9,4,20.9
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.2,7.9,10.6,7.9 - 10.6,Unknown,2020,12,9,4,18.5
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,6.1,4.9,7.7,4.9 - 7.7,Unknown,2020,12,9,4,12.600000000000001
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,14.9,11.8,18.4,11.8 - 18.4,Unknown,2020,12,9,4,30.2
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.9,7.2,13.1,7.2 - 13.1,Unknown,2020,12,9,4,20.3
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,7.0,6.1,8.0,6.1 - 8.0,Unknown,2020,12,9,4,14.1
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,10.7,10.1,11.4,10.1 - 11.4,Unknown,2020,12,9,4,21.5
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,12.6,12.0,13.2,12.0 - 13.2,Unknown,2020,12,9,4,25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,25.2,24.5,25.9,24.5 - 25.9,Unknown,2020,12,9,4,50.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.9,22.6,27.4,22.6 - 27.4,Unknown,2020,12,9,4,50.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,27.7,26.3,29.2,26.3 - 29.2,Unknown,2020,12,9,4,55.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,26.0,24.6,27.5,24.6 - 27.5,Unknown,2020,12,9,4,52.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,26.5,24.8,28.3,24.8 - 28.3,Unknown,2020,12,9,4,53.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,23.8,22.5,25.1,22.5 - 25.1,Unknown,2020,12,9,4,47.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.0,19.3,22.8,19.3 - 22.8,Unknown,2020,12,9,4,42.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.0,16.8,27.9,16.8 - 27.9,Unknown,2020,12,9,4,44.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,18.8,17.9,19.8,17.9 - 19.8,Unknown,2020,12,9,4,37.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,31.0,30.2,31.8,30.2 - 31.8,Unknown,2020,12,9,4,62.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,15.0,14.4,15.6,14.4 - 15.6,Unknown,2020,12,9,4,30.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,39.1,37.7,40.4,37.7 - 40.4,Unknown,2020,12,9,4,78.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.1,19.0,23.3,19.0 - 23.3,Unknown,2020,12,9,4,42.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,27.5,26.7,28.4,26.7 - 28.4,Unknown,2020,12,9,4,55.099999999999994
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,20.5,18.2,22.9,18.2 - 22.9,Unknown,2020,12,9,4,41.099999999999994
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,12.4,10.2,14.8,10.2 - 14.8,Unknown,2020,12,9,4,25.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,30.7,27.0,34.6,27.0 - 34.6,Unknown,2020,12,9,4,61.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.9,18.9,27.2,18.9 - 27.2,Unknown,2020,12,9,4,46.099999999999994
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.7,21.3,24.2,21.3 - 24.2,Unknown,2020,12,9,4,45.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,27.2,26.2,28.2,26.2 - 28.2,Unknown,2020,12,9,4,54.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,26.1,25.3,26.9,25.3 - 26.9,Unknown,2020,12,9,4,52.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,12.4,11.9,13.0,11.9 - 13.0,Unknown,2020,12,9,4,24.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.1,20.2,24.0,20.2 - 24.0,Unknown,2020,12,9,4,44.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,17.2,16.1,18.3,16.1 - 18.3,Unknown,2020,12,9,4,34.400000000000006
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,13.8,12.5,15.2,12.5 - 15.2,Unknown,2020,12,9,4,27.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,10.4,9.1,11.7,9.1 - 11.7,Unknown,2020,12,9,4,20.799999999999997
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,6.0,5.2,6.9,5.2 - 6.9,Unknown,2020,12,9,4,12.100000000000001
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,4.4,3.4,5.7,3.4 - 5.7,Unknown,2020,12,9,4,9.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,6.7,3.6,11.3,3.6 - 11.3,Unknown,2020,12,9,4,14.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.5,8.7,10.3,8.7 - 10.3,Unknown,2020,12,9,4,19.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Female,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,15.1,14.3,15.8,14.3 - 15.8,Unknown,2020,12,9,4,30.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,3.4,3.0,3.8,3.0 - 3.8,Unknown,2020,12,9,4,6.8
